asset,dist,mu,omega,alpha1,beta1,nu,alpha+beta
SPY,normal,0.08672325081182254,0.0399895291827489,0.18095306830647634,0.7878302519007209,,0.9687833202071972
SPY,t,0.1009010876026584,0.022247971525230135,0.17451902790468857,0.8204832205364234,5.436729863339596,0.995002248441112
QQQ,normal,0.10314869093799736,0.052046196695053414,0.14062661211026187,0.8336461989537417,,0.9742728110640035
QQQ,t,0.1399181386592924,0.028116145426908906,0.142891999517959,0.855534262593484,5.286960126207451,0.998426262111443
TLT,normal,0.0015443150990216055,0.014892669565841071,0.06833673199714958,0.913967276740326,,0.9823040087374756
TLT,t,0.00684733130713545,0.009908611657825714,0.05966273804823917,0.9285975519218294,14.342063383416669,0.9882602899700685
GLD,normal,0.024584986867431956,0.022859067512418806,0.06314395666601093,0.9110052744711962,,0.9741492311372071
GLD,t,0.039525892798023175,0.014289670704923521,0.048967946883604674,0.9356062816787023,5.7879986101967065,0.9845742285623069
EW,normal,0.05898608138282708,0.009005129581177721,0.11286896795199491,0.8718663344882325,,0.9847353024402274
EW,t,0.06710760478405078,0.0074028043898630765,0.10021052372578783,0.8878274592636416,6.549025095290382,0.9880379829894295
